"Id";"Year"
"AKRAP I";2010
"ALI EMA";2011
"ALMEIDA RMD";2015
"ARNDT C";2015
"ARTYUSHENKO VG";2007
"ASOODEH A";2019
"BAGULEY BM";2009
"BAHERI T";2017
"BAHRAM M";2017
"BAIRROS AVD";2015
"BALALI-MOOD M";2019
"BALDIA CM";2010
"BANFIELD SJ";2015
"BARRY JA";2015
"BARTICK EG";2017
"BATCHELOR SN";2015
"BECK KR";2016
"BENTOLILA A";2015
"BIDE MJ";2005
"BIERMANN TW";2007
"BLACKBURN RS";2005
"BLACKLAWS C";1988
"BLAKE SL";2016
"BOCHARNIKOV A";2007
"BODDEKER H";1995
"BOEL LWT";2018
"BORUSIEWICZ R";2008
"BOTTRILL RS";2017
"BOWEN AM";2015
"BRESEE RR";1991
"BRINSKO KM";2016
"BRUSCHWEILER W";1997
"BUSH HD";1973
"BUZZINI P";2018
"CAMPIGLIA AD";2019
"CARACOGLIA L";2008
"CARR DJ";2017
"CAUSIN V";2006
"CHABLI S";2012
"CHO L";2001
"CHO LL";2001
"COCHRAN KH";2015
"COOK R";1999
"COULSON SA";2009
"COYLE TJ";2020
"CRAWFORD A";2016
"DAROUX FY";2017
"DAVIGNON M";2003
"DAVIS AR";2020
"DE WAEL K";2020
"DEBATTISTA R";2019
"DECK S";2002
"DEVALLA S";2019
"DITTMANN J";2015
"DOCKERY CR";2009
"DOMB AJ";2015
"DOS SANTOS MF";2020
"DOW TA";2018
"DRAGUTINOVIC A";2015
"DRUMMOND P";2007
"DUNLOP J";1992
"EDWARDS HGM";2011
"EHRENREICH T";1981
"ES'HAGHI Z";2019
"ESPINOZA E";2020
"EVETT LW";2000
"EYRING MB";2014
"FARAH S";2015
"FERGUSSON SM";2020
"FERRER N";2017
"FISCHER G";2020
"FISCHER R";1995
"FITZPATRICK RW";2017
"FLORY JF";2015
"FORBES SL";2017
"FREDERICKS PM";2012
"FROELING M";2018
"FURST SJ";2018
"GARCIA-RUIZ C";2016
"GARRARD K";2014
"GASON F";2020
"GATEWOOD BM";2001
"GHORANI-AZAM A";2019
"GILBERT B";2020
"GILL R";1988
"GIRVAN E";2014
"GOICOECHEA HC";2016
"GONZALES B";2020
"GOODPASTER JV";2017
"GRIEVE MC";2017
"GRIFFIN RME";1999
"GROVES E";2018
"GRZYB T";2020
"GUNNING SP";2018
"GUO H";2020
"GUZZINI G";2005
"GWINNETT C";2019
"HAAKMA W";2018
"HAGER W";1981
"HAO B";2017
"HARRISON K";2017
"HARTSHORNE AW";1991
"HE Y";2015
"HEIDER EC";2016
"HELBIG W";1992
"HENDRIX JE";2009
"HIGASHIKAWA Y";2009
"HINKS D";2016
"HOLNESS JA";2005
"HOUCK MM";2019
"HU C";2020
"HUANG M";2005
"HUTCHINSON W";2009
"ISHIYAMA I";1984
"JACKSON G";2000
"JAKES KA";2010
"JENNE K";1983
"JOCHEM G";2012
"JONES J";2012
"JOSEPH O";2019
"KANNO S";1996
"KAWASE S";1996
"KERRIGAN GC";1981
"KIESER JA";2014
"KIHO T";1996
"KING M";2016
"KIRKBRIDE KP";2014
"KOBAYASHI M";2004
"KOCH S";2020
"KOMBOLIAS M";2020
"KOTOWSKI TM";1988
"KRAUSS W";2004
"KRETSCHMER K";1992
"KUIPER I";2015
"KUMIRSKA J";2020
"KUNDURU KR";2015
"KUNICKI M";2008
"LACHENMEIER DW";2004
"LAING DK";1991
"LAMBERT JA";2000
"LANGDON S";2003
"LANGER AM";1974
"LARRABURE D";2020
"LASSAS M";2014
"LEEMANS A";2018
"LEIJENHORST HAL";2012
"LENNARD C";2014
"LEPOT L";2020
"LEWIS SW";2016
"LEYTON V";2020
"LI X";2020
"LIS S";2020
"LOBACHOV V";2007
"LOWRIE CN";1994
"LUNSTROOT K";2020
"LYNCH BJ";1981
"MABBOTT AJ";2017
"MAGERL H";1981
"MARCH BM";2005
"MAREGA C";2006
"MARGOT P";1997
"MARIGO A";2006
"MASSONNET G";2018
