"Authors"	"Title"	"Year"	"AKeywords"	"Source.title"	"DOI"	"Document.Type"	"Link"	"Coder"
"FARAH S; TSACH T; BENTOLILA A; DOMB AJ"	"Morphological, spectral and chromatography analysis and forensic comparison of PET fibers"	2014	"Fiber analysis; Fiber forensic comparison; GPC analysis; Poly(ethylene terephthalate)"	"Talanta"	"10.1016/j.talanta.2014.01.041"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894310857&doi=10.1016%2fj.talanta.2014.01.041&partnerID=40&md5=57ed72a2ee56484c120415af8f40398d"	2016
"MELEIRO PP; GARCIÁ-RUIZ C"	"Spectroscopic techniques for the forensic analysis of textile fibers"	2016	"cotton; FTIR spectroscopy; infrared chemical imaging spectroscopy; polyester; Raman spectroscopy; textile fiber; UV-Vis microspectrophotometry; wool; X-ray fluorescence spectroscopy"	"Applied Spectroscopy Reviews"	"10.1080/05704928.2015.1132720"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957652182&doi=10.1080%2f05704928.2015.1132720&partnerID=40&md5=5820c832e83107e3023c96a8a7693e87"	2016
"MARTIN PC; EYRING MB"	"Microspectrophotometry"	2014	"Fiber; Fluorescence; Forensics; Paint; Reflectance; Transmittance"	"Experimental Methods in the Physical Sciences"	"10.1016/B978-0-12-386022-4.00013-3"	"Book"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84903490214&doi=10.1016%2fB978-0-12-386022-4.00013-3&partnerID=40&md5=372cb53405bd5349a41ac620047c5c1c"	2016
"WAS-GUBALA J; STARCZAK R"	"UV-Vis microspectrophotometry as a method of differentiation between cotton fibre evidence coloured with reactive dyes"	2015	"CIEL?CIEL?a?b; Colour measurement; Cotton fibre; Forensic; MSP UV-Vis; Reactive dyes"	"Spectrochimica Acta - Part A: Molecular and Biomolecular Spectroscopy"	"10.1016/j.saa.2015.01.116"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923222036&doi=10.1016%2fj.saa.2015.01.116&partnerID=40&md5=de7b6b00e1001bea604023821cd5ca20"	2016
"DE WAEL K; VAN DIJCK K; GASON F"	"Discrimination of reactively-dyed cotton fibres with thin layer chromatography and UV microspectrophotometry"	2015	"Discriminating power; Enzymatic digestion; Forensic fibre examination; Microspectrophotometry; Optical microscopy; Thin layer chromatography"	"Science and Justice"	"10.1016/j.scijus.2015.06.001"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84932105391&doi=10.1016%2fj.scijus.2015.06.001&partnerID=40&md5=d402b777f2973ddc1243971060969ad7"	2016
"WAS-GUBALA J; STARCZAK R"	"Nondestructive identification of dye mixtures in polyester and cotton fibers using Raman spectroscopy and ultraviolet-visible (UV-Vis) microspectrophotometry"	2015	NA	"Applied Spectroscopy"	"10.1366/14-07567"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929092327&doi=10.1366%2f14-07567&partnerID=40&md5=d9b697f79af1892c584cccaa7f080304"	2016
"STARCZAK R; WAS-GUBA?A J"	"UV-Vis microspectrophotometric study of wool and polyamide fibres dyed with analogous gryfalan dyes"	2016	"Forensic science; Gryfalan dyes; Microspectrophotometry; Polyamide; Textile; Wool"	"Dyes and Pigments"	"10.1016/j.dyepig.2016.04.041"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84974625373&doi=10.1016%2fj.dyepig.2016.04.041&partnerID=40&md5=fcc37d714df943a267cae9faf4e557fc"	2016
"MUJUMDAR N; HEIDER EC; CAMPIGLIA AD"	"Enhancing Textile Fiber Identification with Detergent Fluorescence"	2015	"Fiber analysis; Fluorescence microscopy; Principal component cluster analysis"	"Applied Spectroscopy"	"10.1366/15-07992"	"Article"	NA	2016
"APPALANENI K; HEIDER EC; MOORE AFT; CAMPIGLIA AD"	"Single fiber identification with nondestructive excitation-emission spectral cluster analysis"	2014	NA	"Analytical Chemistry"	"10.1021/ac500021h"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904278698&doi=10.1021%2fac500021h&partnerID=40&md5=376a0af69c2638cf84a8da71dc05ec14"	2016
"MUÑOZ DE LA PEÑA A; MUJUMDAR N; HEIDER EC; GOICOECHEA HC; MUÑOZ DE LA PEÑA D; CAMPIGLIA AD"	"Nondestructive Total Excitation-Emission Fluorescence Microscopy Combined with Multi-Way Chemometric Analysis for Visually Indistinguishable Single Fiber Discrimination"	2016	NA	"Analytical Chemistry"	"10.1021/acs.analchem.6b00264"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959484107&doi=10.1021%2facs.analchem.6b00264&partnerID=40&md5=f55261e350cf5dcbb50a3969b9fdfa76"	2016
"DOTY KC; MURO CK; BUENO J; HALÁMKOVÁ L; LEDNEV IK"	"What can Raman spectroscopy do for criminalistics?"	2016	"body fluids; chemometrics; forensic; gunshot residue; trace evidence"	"Journal of Raman Spectroscopy"	"10.1002/jrs.4826"	"Review"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84956594967&doi=10.1002%2fjrs.4826&partnerID=40&md5=f2a266bd6632622f8300237575145c49"	2016
"WAS-GUBALA J"	"Identification of modern synthetic fibres in forensic laboratory"	2015	NA	"Innovations in Clothing Design, Materials, Technology & Measurement Methods"	NA	"Book"	NA	2016
"WATANABE S; SUZUKI S; HRYNCHUK RJ"	"Basic study on the discrimination of poly(ethylene terephthalate) fibres by polarized confocal Raman spectroscopy"	2013	NA	"Journal of the Canadian Society of Forensic Science"	"10.1080/00085030.2013.10799547"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896754104&doi=10.1080%2f00085030.2013.10799547&partnerID=40&md5=bf09b02c78b50495d401666b0ecd5491"	2016
"ADAR F"	"Raman microscopy analysis of molecular orientation in organic fibers"	2013	NA	"Spectroscopy (Santa Monica)"	NA	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876508734&partnerID=40&md5=0f4d29f393d88bbd38c037ba026eb014"	2016
"WAS-GUBALA J; MACHNOWSKI W"	"Application of Raman spectroscopy for differentiation among cotton and viscose fibers dyed with several dye classes"	2014	"dye; forensic; identification; textile fibre"	"Spectroscopy Letters"	"10.1080/00387010.2013.820760"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898420442&doi=10.1080%2f00387010.2013.820760&partnerID=40&md5=0f42a8578e66211be62122b1a1e3fd20"	2016
"BUZZINI P; MASSONNET G"	"The analysis of colored acrylic, cotton, and wool textile fibers using micro-raman spectroscopy. Part 2: Comparison with the traditional methods of fiber examination"	2015	"Criminalistics; Dye analysis; Fibers; Forensic science; Fourier transform infrared spectroscopy; Microscopy; Microspectrophotometry; Raman spectroscopy; Thin-layer chromatography; Trace evidence"	"Journal of Forensic Sciences"	"10.1111/1556-4029.12654"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928763447&doi=10.1111%2f1556-4029.12654&partnerID=40&md5=3a0a1a68960e480d93aceae1c32f0d9f"	2016
"BUZZINI P; MASSONNET G"	"The Discrimination of Colored Acrylic, Cotton, and Wool Textile Fibers Using Micro-Raman Spectroscopy. Part 1: In situ Detection and Characterization of Dyes"	2013	"Discriminating power; Dye analysis; Fibers; Forensic science; Raman spectroscopy; Trace evidence"	"Journal of Forensic Sciences"	"10.1111/1556-4029.12298"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886886085&doi=10.1111%2f1556-4029.12298&partnerID=40&md5=a268e03e44dcdbb726e42e6e58ef7004"	2016
"BIANCHI F; RIBONI N; TROLLA V; FURLAN G; AVANTAGGIATO G; IACOBELLIS G; CARERI M"	"Differentiation of aged fibers by Raman spectroscopy and multivariate data analysis"	2016	"Aging; Discriminant analysis; Dyes; Forensic science; Raman spectroscopy; Textiles"	"Talanta"	"10.1016/j.talanta.2016.04.013"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964063341&doi=10.1016%2fj.talanta.2016.04.013&partnerID=40&md5=119b02508cf4654a8e3e35f66c579e8e"	2016
"MASSONNET G"	"Raman and SER(R)S used for the analysis of fibre synthetic dyes: preliminary results"	2015	NA	"Proceedings of the 23rd ENFSI Textile & Hair Group Meeting, Newcastle"	NA	"Proceedings papers"	NA	2016
"GROVES E; PALENIK CS; PALENIK S"	"A survey of extraction solvents in the forensic analysis of textile dyes"	2016	"Dyes; Extraction; Forensic science; Pyridine:Water; Textile fibers; Trace evidence"	"Forensic Science International"	"10.1016/j.forsciint.2016.03.043"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992602827&doi=10.1016%2fj.forsciint.2016.03.043&partnerID=40&md5=2588960b61a7ca769c159ea5e6fa707d"	2016
"GUNNING SP"	"Design of a Microfluidic Device to Extract Dyes from Fibers for Forensic Analysis"	2014	NA	"Proceedings of the 29th Annual Meeting of the American Society for Precision Engineering, Boston"	NA	"Proceedings papers"	NA	2016
"CAREY A; RODEWIJK N; XU X; VAN DER WEERD J"	"Identification of dyes on single textile fibers by HPLC-DAD-MS"	2013	NA	"Analytical Chemistry"	"10.1021/ac402173e"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84888993950&doi=10.1021%2fac402173e&partnerID=40&md5=b7e44a58b6bcea9882c357f04c5d8d92"	2016
"HOY SJ"	"Development and Figures of Merit of Microextraction and Ultra-Performance Liquid Chromatography for Forensic Characterization of Dye Profiles on Trace Acrylic, Nylon, Polyester, and Cotton Textile Fibers"	2013	NA	NA	NA	"Thesis"	"http://scholarcommons.sc.edu/cgi/viewcontent.cgi?article=3392&context=etd"	2016
"MORGAN SL"	"Validation of Forensic Characterization and Chemical Identification of Dyes Extracted from Millimeter-length Fibers"	2015	NA	"U.S. Department of Justice"	NA	"Report"	"https://www.ncjrs.gov/pdffiles1/nij/grants/248579.pdf"	2016
"KATO T; IKEUE T; SUZUKI Y; HANDA M"	"Analysis of disperse dyes using liquid chromatography/linear ion trap mass spectrometry (LC/LIT-MS n ) and database construction"	2016	"Database; Disperse dye; Liquid chromatography/linear ion trap mass spectrometry"	"Analytical Sciences"	"10.2116/analsci.32.147"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959344328&doi=10.2116%2fanalsci.32.147&partnerID=40&md5=d21f6afb0259cf7ebd4cefa20b5adfe6"	2016
"VAN OIJEN TA; VAN DER WEERD J"	"Spectrometric imaging of polarization colors and its application in forensic fiber analysis"	2015	NA	"Applied spectroscopy"	"10.1366/14-07736"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84956927363&doi=10.1366%2f14-07736&partnerID=40&md5=71a8a1e017645a7a47c5fba9b13fe0c6"	2016
"COCHRAN KH; BARRY JA; MUDDIMAN DC; HINKS D"	"Direct analysis of textile fabrics and dyes using infrared matrix-assisted laser desorption electrospray ionization mass spectrometry"	2013	NA	"Analytical Chemistry"	"10.1021/ac302519n"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872585821&doi=10.1021%2fac302519n&partnerID=40&md5=27a25a686bdff33be3506a0b0421bf3b"	2016
"COCHRAN KH; BARRY JA; ROBICHAUD G; MUDDIMAN DC"	"Analysis of trace fibers by IR-MALDESI imaging coupled with high resolving power MS"	2015	"Forensic science; MALDESI; Mass spectrometry imaging; Polarity switching imaging; Trace evidence"	"Analytical and Bioanalytical Chemistry"	"10.1007/s00216-014-8042-y"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940436250&doi=10.1007%2fs00216-014-8042-y&partnerID=40&md5=39472e2bfc030a5a7df8d11fd9f1f3bb"	2016
"ORELLANA FA; GÁLVEZ CG; ORELLANA FA; GÁLVEZ CG; ROLDÁN MT; GARCÍA-RUIZ C; ROLDÁN MT; GARCÍA-RUIZ C"	"Applications of laser-ablation-inductively-coupled plasma-mass spectrometry in chemical analysis of forensic evidence"	2013	"Chemical analysis; Data treatment; Elemental analysis; Forensic analysis; Forensic evidence; Forensic sample; Glass; Interference; Laser-ablation inductively-coupled plasma-mass spectrometry (LA-ICP-MS); Paint"	"TrAC - Trends in Analytical Chemistry"	"10.1016/j.trac.2012.09.015"	"Review"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871496843&doi=10.1016%2fj.trac.2012.09.015&partnerID=40&md5=6eddbe3d9c5ff8fb8d3897bd50f17d2d"	2016
"HARK RR; EAST LJ"	"Forensic applications of LIBS"	2014	NA	"Springer Series in Optical Sciences"	"10.1007/978-3-642-45085-3_14"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958535111&doi=10.1007%2f978-3-642-45085-3_14&partnerID=40&md5=82fb425ef5ed3ef09a7d20b106efba2c"	2016
"IONAS AC; BALLESTEROS GÓMEZ A; UCHIDA N; SUZUKI G; KAJIWARA N; TAKATA K; TAKIGAMI H; LEONARDS PEG; COVACI A"	"Comprehensive characterisation of flame retardants in textile furnishings by ambient high resolution mass spectrometry, gas chromatography-mass spectrometry and environmental forensic microscopy"	2015	"Flame retardants; Home furnishings; Mass spectrometry; PBDEs; PFRs; Textiles"	"Environmental Research"	"10.1016/j.envres.2015.09.012"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941962063&doi=10.1016%2fj.envres.2015.09.012&partnerID=40&md5=7ef8d351ec53678476ed927eb7db6ac6"	2016
"SUGA K; NARITA Y; SUZUKI S"	"A simple solubility tests for the discrimination of acrylic and modacrylic fibers"	2014	"Acrylic fiber; Dissolution test; Fiber; Forensic science; Modacrylic; N,N-dimethylformamide; Trace physical evidence"	"Journal of Forensic Sciences"	"10.1111/1556-4029.12370"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899074413&doi=10.1111%2f1556-4029.12370&partnerID=40&md5=e0f8a27058c33aec7a6e94a856cd5e1b"	2016
"FEI J; YANG J; ZHOU H; TANG M; LU W; YAN A; HOU Y; ZHANG S"	"A novel method for identifying shahtoosh"	2014	"DNA; Forensic science; Shahtoosh; Species identify; TaqMan polymerase chain reaction; Tibetan antelope"	"Journal of Forensic Sciences"	"10.1111/1556-4029.12374"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899096995&doi=10.1111%2f1556-4029.12374&partnerID=40&md5=46bf7d67615af2ab5a0ca8ba71592cec"	2016
"PAOLELLA S; BENCIVENNI M; LAMBERTINI F; PRANDI B; FACCINI A; TONETTI C; VINEIS C; SFORZA S"	"Identification and quantification of different species in animal fibres by LC/ESI-MS analysis of keratin-derived proteolytic peptides"	2013	"animal fibres; enzymatic digestion; LC/ESI-MS; peptide markers; wool identification"	"Journal of Mass Spectrometry"	"10.1002/jms.3222"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881111892&doi=10.1002%2fjms.3222&partnerID=40&md5=bef4c58e14a6af2bbb2abac374bc9413"	2016
"TRIDICO SR; HOUCK MM; KIRKBRIDE KP; SMITH ME; YATES BC"	"Morphological identification of animal hairs: Myths and misconceptions, possibilities and pitfalls"	2014	"Animal hairs; Human hairs; Microscopy; Morphology; SWGWILD; Wildlife forensic"	"Forensic Science International"	"10.1016/j.forsciint.2014.02.023"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897384316&doi=10.1016%2fj.forsciint.2014.02.023&partnerID=40&md5=0e0f0866234497898ffde637060fba73"	2016
"HESS S"	"Collaborative Exercise 2015 results"	2015	NA	"Proceedings of the 23rd ENFSI Textile & Hair Group Meeting, Newcastle"	NA	"Proceedings papers"	NA	2016
"HAUGAN E; HOLST B"	"Determining the fibrillar orientation of bast fibres with polarized light microscopy: The modified Herzog test (red plate test) explained"	2013	"Fibrillar orientation; Herzog test; Plant fibre identification; Polarized light microscopy; Red plate test"	"Journal of Microscopy"	"10.1111/jmi.12079"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885847059&doi=10.1111%2fjmi.12079&partnerID=40&md5=c3ae1fa871945e853f2c51fbb0a3ccd9"	2016
"JOCHEM G"	"Collaborative Exercise 2014 results"	2014	NA	"Proceedings of the 22nd ENFSI Textile & Hair Group Meeting, Düsseldorf"	NA	"Proceedings papers"	NA	2016
"MORGAN SL"	"Evaluation of Statistical Measures for Fiber Comparisons: Interlaboratory Studies and Forensic Databases"	2014	NA	"U.S. Department of Justice"	NA	"Report"	"https://www.ncjrs.gov/pdffiles1/nij/grants/248386.pdf"	2016
NA	"Worldwide Manufactured Fiber Production"	2014	NA	"Fiber Economics Bureau"	NA	"Webpage"	"http://www.fibersource.com/f-info/FiberProduction.pdf"	2016
"PHAN K-H"	"Animal fibres"	2014	NA	"Proceedings of the 22nd ENFSI Textile & Hair Group Meeting, Düsseldorf"	NA	"Proceedings papers"	NA	2016
"KRZYSKO J"	"Insight Denim-Dyeing with Indigo in Denim Production"	2014	NA	"Proceedings of the 22nd ENFSI Textile & Hair Group Meeting, Düsseldorf"	NA	"Proceedings papers"	NA	2016
"BATCHELOR SN"	"New insights into dye chemistry and physics"	2015	NA	"Coloration Technology"	"10.1111/cote.12138"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925164118&doi=10.1111%2fcote.12138&partnerID=40&md5=bd950e057702d79ae7bcbec6424e9aa7"	2016
"HAYWARD A"	"Factors influencing optical properties fibres"	2015	NA	"Proceedings of the 23rd ENFSI Textile & Hair Group Meeting, Newcastle"	NA	"Proceedings papers"	NA	2016
"GUTOVSKA I"	"Artificial Suede"	2015	NA	"Proceedings of the 23rd ENFSI Textile & Hair Group Meeting, Newcastle"	NA	"Proceedings papers"	NA	2016
NA	"BISFA"	NA	NA	"The International Bureau for Standardisation of Man-made Fibres"	NA	"Webpage"	"http://www.bisfa.org/"	2016
NA	"CIRFS"	NA	NA	"European Man-made Fibres Association"	NA	"Webpage"	"http://www.cirfs.org/"	2016
NA	"Textile World. Textile Industries Media Group"	NA	NA	NA	NA	"Webpage"	"http://www.textileworld.com/"	2016
"KIEKENS P"	"New developments in textile industry"	2016	NA	"Personal communication"	NA	"Communication"	NA	2016
"CHISNALL RC"	"Structural recognition and nomenclature standardization in forensic knot analysis"	2016	"Chirality; Forensic; Knots; Nomenclature; Structure; Topology"	"Science and Justice"	"10.1016/j.scijus.2016.04.002"	"Review"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84974577321&doi=10.1016%2fj.scijus.2016.04.002&partnerID=40&md5=a14bcb14c06aeeea8b919641eec987ed"	2016
NA	"ENFSI Guideline for Evaluative Reporting in Forensic Science"	2015	NA	"European Network of Forensic Science Institutes"	NA	"Report"	"http://enfsi.eu/sites/default/files/documents/external_publications/m1_guideline.pdf"	2016
"MARQUIS R; BIEDERMANN A; CADOLA L; CHAMPOD C; GUEISSAZ L; MASSONNET G; MAZZELLA WD; TARONI F; HICKS T"	"Discussion on how to implement a verbal scale in a forensic laboratory: Benefits, pitfalls and suggestions to avoid misunderstandings"	2016	"Interpretation; Likelihood ratio; Probative value; Statement; Verbal scale"	"Science and Justice"	"10.1016/j.scijus.2016.05.009"	"Note"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976482599&doi=10.1016%2fj.scijus.2016.05.009&partnerID=40&md5=5566e33fab5c692f5d0b853a021e5bce"	2016
"JOHANSSON S"	"Evidence evaluation at NFC"	2015	NA	"Proceedings of the 23rd ENFSI Textile & Hair Group Meeting, Newcastle"	NA	"Proceedings papers"	NA	2016
"PALMER R"	NA	2015	NA	"Proceedings of the 23rd ENFSI Textile & Hair Group Meeting, Newcastle"	NA	"Proceedings papers"	NA	2016
"PALMER R"	"Fibres under fire: the CAI and Bayesian Framework"	2015	NA	"Proceedings of the 7th European Academy of Forensic Science Conference, Praha"	NA	"Proceedings papers"	NA	2016
"PALMER R"	"The evaluation of fibre evidence in the investigation of serious crime"	2016	NA	NA	NA	"Thesis"	NA	2016
"VOOIJS C; VERGEER P; VAN DER WEERD J"	"Towards source level evaluation of the evidential value of fibre examinations"	2015	"Discrimination power; Discrimination study; Fiber evidence; Likelihood ratio LR; Match; Numerical evaluation; Population study"	"Forensic Science International"	"10.1016/j.forsciint.2015.02.009"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925431061&doi=10.1016%2fj.forsciint.2015.02.009&partnerID=40&md5=4455bbfdc440232d14a9a758fca82fc6"	2016
"PEETS P; LEITO I; PELT J; VAHUR S"	"Identification and classification of textile fibres using ATR-FT-IR spectroscopy with chemometric methods"	2017	"ATR-FT-IR spectroscopy; Classification; Discriminant analysis; Fibres; Principal component analysis; Textiles"	"Spectrochimica Acta - Part A: Molecular and Biomolecular Spectroscopy"	"10.1016/j.saa.2016.09.007"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987898699&doi=10.1016%2fj.saa.2016.09.007&partnerID=40&md5=06e1220d13dd4468c05b5ecef07aa4b1"	2019
"MUEHLETHALER C; LEONA M; LOMBARDI JR"	"Towards a validation of surface-enhanced Raman scattering (SERS) for use in forensic science: repeatability and reproducibility experiments"	2016	"Crystal violet; Methamphetamine; multivariate statistics; Nanoparticles; Silver colloids; TNT"	"Forensic Science International"	"10.1016/j.forsciint.2016.09.005"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988405290&doi=10.1016%2fj.forsciint.2016.09.005&partnerID=40&md5=fc2d3a656cf4bd1e1d2b1a541291a76a"	2019
"MEYER L; MACDONALD S; SKINNER R"	"Cotton and Wool Outlook"	2008	NA	"Cotton and Wool Outlook"	NA	NA	NA	2019
"FRANÇA DE SÁ S; FERREIRA JL; MATOS AS; MACEDO R; RAMOS AM"	"A new insight into polyurethane foam deterioration – the use of Raman microscopy for the evaluation of long-term storage conditions"	2016	"conservation; long-term storage conditions; polyether-based polyurethane foam; Raman microscopy"	"Journal of Raman Spectroscopy"	"10.1002/jrs.4984"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85001968803&doi=10.1002%2fjrs.4984&partnerID=40&md5=bc5c2ed312198162f5b82fb02b649adb"	2019
"BITZER S; HEUDT L; BARRET A; GEORGE L; VAN DIJK K; GASON F; RENARD B"	"The introduction of forensic advisors in Belgium and their role in the criminal justice system"	2018	"Communication; Cost-effectiveness; Decision-making; Forensic generalist; Triaging"	"Science and Justice"	"10.1016/j.scijus.2017.11.002"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033558005&doi=10.1016%2fj.scijus.2017.11.002&partnerID=40&md5=7d31bef64a3d725e007310565c210231"	2019
"NIZIO KD; UELAND M; STUART BH; FORBES SL"	"The analysis of textiles associated with decomposing remains as a natural training aid for cadaver-detection dogs"	2017	"Buried remains; Cadaver-detection dogs; Forensic taphonomy; GC×GC-TOFMS; Natural training aids; Textiles"	"Forensic Chemistry"	"10.1016/j.forc.2017.06.002"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021134261&doi=10.1016%2fj.forc.2017.06.002&partnerID=40&md5=dc09abb1e8682fb966d28c4ea9e71303"	2019
"SAUZIER G; REICHARD E; VAN BRONSWIJK W; LEWIS SW; GOODPASTER JV"	"Improving the confidence of “questioned versus known” fiber comparisons using microspectrophotometry and chemometrics"	2016	"Chemometrics; Forensic science; Microspectrophotometry; Textile fibers"	"Forensic Chemistry"	"10.1016/j.forc.2016.08.001"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006494099&doi=10.1016%2fj.forc.2016.08.001&partnerID=40&md5=6686e3a3584d0b6a9c373643faa17def"	2019
"ROBERTSON J; ROUX C; WIGGINS KG"	"Forensic examination of fibres: Third edition"	2017	NA	"Forensic Examination of Fibres: Third Edition"	"10.1201/9781315156583"	"Book"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042000756&doi=10.1201%2f9781315156583&partnerID=40&md5=6b2474fd0513896b21c68ac66d9af3e2"	2019
"BIEDERMANN A; CHAMPOD C; WILLIS S"	"Development of European standards for evaluative reporting in forensic science: The gap between intentions and perceptions"	2017	NA	"International Journal of Evidence & Proof"	NA	NA	NA	2019
"PALMER R; SHERIDAN K; PUCKETT J; RICHARDSON N; LO W"	"An investigation into secondary transfer—The transfer of textile fibres to seats"	2017	"Fibres; Interpretation; Persistence; Seats; Secondary transfer"	"Forensic Science International"	"10.1016/j.forsciint.2017.07.035"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029313283&doi=10.1016%2fj.forsciint.2017.07.035&partnerID=40&md5=123650b8f807e159be7d3c82a70e1e79"	2019
"REICHARD EJ; BARTICK EG; MORGAN SL; GOODPASTER JV"	"Microspectrophotometric analysis of yellow polyester fiber dye loadings with chemometric techniques"	2017	"Dye loading; Fibers; Forensic science; Microspectrophotometry; Multivariate statistics; Polyester"	"Forensic Chemistry"	"10.1016/j.forc.2016.11.001"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010858456&doi=10.1016%2fj.forc.2016.11.001&partnerID=40&md5=801626f9706e5d0be0c2cf840e38f9a4"	2019
"HEJAZI SM; KADIVAR N; SAJJADI A"	"Analytical assessment of woven fabrics under vertical stabbing - The role of protective clothing"	2016	"Energy method; Knife; Protective clothing; Stab; Woven fabric"	"Forensic Science International"	"10.1016/j.forsciint.2015.12.036"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954287607&doi=10.1016%2fj.forsciint.2015.12.036&partnerID=40&md5=7a6997224ff06e9c9235b4839e0d3689"	2019
"KOSZEWSKA M"	"Circular Economy - Challenges for the Textile and Clothing Industry"	2018	"Circular economy; closing the loop; recycling; textile and clothing industry"	"Autex Research Journal"	"10.1515/aut-2018-0023"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050954128&doi=10.1515%2faut-2018-0023&partnerID=40&md5=a021a67ba9d25869ae02d71477cd4dc4"	2019
"GROVES E; PALENIK S; PALENIK CS"	"Reproducibility of high-performance thin-layer chromatography (HPTLC) in textile dye analysis"	2018	"Dye identification; Forensic science; High performance thin-layer chromatography (HPTLC); Reproducibility; Textile dyes"	"Forensic Chemistry"	"10.1016/j.forc.2018.03.004"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044282249&doi=10.1016%2fj.forc.2018.03.004&partnerID=40&md5=71457b995324069893efffed824632c1"	2019
"SCHOTMAN TG; XU X; RODEWIJK N; VAN DER WEERD J"	"Application of dye analysis in forensic fibre and textile examination: Case examples"	2017	"Chromatography; Dye; Fibres and Textiles; HPLC; Mass spectrometry"	"Forensic Science International"	"10.1016/j.forsciint.2017.07.026"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029289012&doi=10.1016%2fj.forsciint.2017.07.026&partnerID=40&md5=fa31e6c22ba36b831b994fa3fa07a2cb"	2019
"ARSCOTT E; MORGAN R; MEAKIN G; FRENCH J"	"Understanding forensic expert evaluative evidence: A study of the perception of verbal expressions of the strength of evidence"	2017	"Likelihood ratio; Perception; Strength of evidence; Verbal scale"	"Science and Justice"	"10.1016/j.scijus.2017.02.002"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012287009&doi=10.1016%2fj.scijus.2017.02.002&partnerID=40&md5=3321e5b456687043d923918cff99b427"	2019
"BENSON N; DOS SANTOS RO; GRIFFITHS K; COLE N; DOBLE P; ROUX C; BLANES L"	"The development of a stabbing machine for forensic textile damage analysis"	2017	"Arduino; Knife; Stab; Stabbing Machine; Textile damage"	"Forensic Science International"	"10.1016/j.forsciint.2017.02.013"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014490583&doi=10.1016%2fj.forsciint.2017.02.013&partnerID=40&md5=73e6d349b787914d32216cef10cadeef"	2019
