Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,ID,Document Type,Publication Stage,Access Type,Source,EID,Coder
Palmer R.,,The Forensic Examination of Fibres - A Review: 2010 to 2013,2013,Proceedings of the 17th International Forensic Science Symposium Interpol. Lyon,,,,,,,,,,,,,,,Report,,,,,2016
Jochem G.,,Friends and Neighbours,2013,"Proceedings of the 21st ENFSI Textile & Hair Group Meeting, Haapsalu",,,,,,,,,,,,,,,Proceedings,,,,,2016
Gannicliffe C.,,The World’s End murders,2015,"Proceedings of the 23rd ENFSI Textile & Hair Group Meeting, Newcastle",,,,,,,,,,,,,,,Proceedings,,,,,2016
"De Wael K., Lepot L., Lunstroot K., Gason F.",23491995600;15021035100;15136212400;14038614100;,10 years of 1:1 taping in Belgium - A selection of murder cases involving fibre examination,2016,Science and Justice,56,1,,18,28,,6,10.1016/j.scijus.2015.07.002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940093433&doi=10.1016%2fj.scijus.2015.07.002&partnerID=40&md5=a540b40851ba55ead6a139ec54f71675,"National Institute for Criminalistics and Criminology, Brussels, Belgium","De Wael, K., National Institute for Criminalistics and Criminology, Brussels, Belgium; Lepot, L., National Institute for Criminalistics and Criminology, Brussels, Belgium; Lunstroot, K., National Institute for Criminalistics and Criminology, Brussels, Belgium; Gason, F., National Institute for Criminalistics and Criminology, Brussels, Belgium",1:1 taping; Fibre examination; Microtrace recovery; Tape lifting; Zonal taping,Belgium; crime victim; examination; fiber; forensic identification; homicide; human; outcome variable; Review; selection bias; tape lifting technique; clothing; crime victim; forensic medicine; procedures; Clothing; Crime Victims; Forensic Medicine; Homicide; Humans,,Article,Final,,Scopus,2-s2.0-84940093433,2016
Was-Gubala J.,,Textile and Fiber Damage,2013,Encyclopedia of Forensic Sciences,,,,138,142,,,10.1016/B978-0-12-382165-2.00094-5,https://www.sciencedirect.com/science/article/pii/B9780123821652000945,"Institute of Forensic Research, Krakow, Poland","Was-Gubala, J., Institute of Forensic Research, Krakow, Poland",Biodegradation; Cutting; Environmental damage; Explosion effects; Fiber; Laundering effects; Mechanical damage; Microbiological damage; Tearing; Textile; Thermal damage; Wear and tear,,,Book Chapter,,,,,2016
"Wells S.L., Laing R.M., Carr D.J., Niven B.E.",57197474187;7101972444;8049037200;7003706196;,Effect of laundering on visible damage to apparel fabric caused by sharp force impact,2013,Forensic Science International,233,01-Mar,,283,287,,8,10.1016/j.forsciint.2013.09.025,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886392420&doi=10.1016%2fj.forsciint.2013.09.025&partnerID=40&md5=dc274510309884f0fa835315c5c92819,"Clothing and Textile Sciences, Department of Applied Sciences, University of Otago, PO Box 56, Dunedin, New Zealand; Impact and Armour Group, Department of Engineering and Applied Science, Cranfield Defence and Security, Cranfield University, Defence Academy of the United Kingdom, Shrivenham SN6 8LA, United Kingdom; Centre for Applications of Statistics and Mathematics, University of Otago, PO Box 56, Dunedin, New Zealand","Wells, S.L., Clothing and Textile Sciences, Department of Applied Sciences, University of Otago, PO Box 56, Dunedin, New Zealand; Laing, R.M., Clothing and Textile Sciences, Department of Applied Sciences, University of Otago, PO Box 56, Dunedin, New Zealand; Carr, D.J., Impact and Armour Group, Department of Engineering and Applied Science, Cranfield Defence and Security, Cranfield University, Defence Academy of the United Kingdom, Shrivenham SN6 8LA, United Kingdom; Niven, B.E., Centre for Applications of Statistics and Mathematics, University of Otago, PO Box 56, Dunedin, New Zealand",Cotton apparel fabrics (t-shirts); Sharp force trauma; Single jersey; Twill weave drill (jeans); Visual assessment,article; clothing; cotton; equipment; fabric damage; forensic identification; forensic science; jersey; kitchen knife; laundry; legal evidence; penetrating trauma; photography; physical parameters; priority journal; screwdriver; twill weave; weapon identification,,Article,Final,,Scopus,2-s2.0-84886392420,2016
Kemp S.,,The effect of degradation on severance Morphology,2015,,,,,,,,,,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.618.117&rep=rep1&type=pdf,,,,,,Poster,,,,,2016
"Cowper E.J., Carr D.J., Horsfall I., Fergusson S.M.",56527411800;8049037200;6603047664;55277408600;,The effect of fabric and stabbing variables on severance appearance,2015,Forensic Science International,249,,,214,224,,12,10.1016/j.forsciint.2015.01.024,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923382051&doi=10.1016%2fj.forsciint.2015.01.024&partnerID=40&md5=acbd7767e96eb76ce7ecaf8ab90dd778,"Centre for Advanced Materials and Performance Textiles, RMIT University, 25 Dawson Street, Brunswick, VIC  3056, Australia; Impact and Armour Group, Centre for Defence Engineering, Cranfield Defence and Security, Cranfield University, Defence Academy of the United Kingdom, Shrivenham, Oxon, SN6 8LA, United Kingdom","Cowper, E.J., Centre for Advanced Materials and Performance Textiles, RMIT University, 25 Dawson Street, Brunswick, VIC  3056, Australia, Impact and Armour Group, Centre for Defence Engineering, Cranfield Defence and Security, Cranfield University, Defence Academy of the United Kingdom, Shrivenham, Oxon, SN6 8LA, United Kingdom; Carr, D.J., Impact and Armour Group, Centre for Defence Engineering, Cranfield Defence and Security, Cranfield University, Defence Academy of the United Kingdom, Shrivenham, Oxon, SN6 8LA, United Kingdom; Horsfall, I., Impact and Armour Group, Centre for Defence Engineering, Cranfield Defence and Security, Cranfield University, Defence Academy of the United Kingdom, Shrivenham, Oxon, SN6 8LA, United Kingdom; Fergusson, S.M., Centre for Advanced Materials and Performance Textiles, RMIT University, 25 Dawson Street, Brunswick, VIC  3056, Australia",Extension and elasticity; Knife; Knitted fabric; Male and female participants; Morphology,"adult; age; Article; controlled study; cotton; devices; elasticity; female; human; knife; laundry; male; physical parameters; priority journal; severance; sex difference; stab wound; textile fiber; biological model; clothing; equipment design; forensic science; microscopy; weapon; Adult; Clothing; Elasticity; Equipment Design; Female; Forensic Sciences; Humans; Male; Microscopy; Models, Biological; Weapons; Wounds, Stab",,Article,Final,,Scopus,2-s2.0-84923382051,2016
"Cowper E.J., Mahoney P.F., Godhania K., Carr D.J., Harrison K.",56527411800;12808524800;57194454575;8049037200;39761632200;,A pilot study examining garment severance damage caused by a trained sharp-weapon user,2017,Textile Research Journal,87,11,,1287,1296,,4,10.1177/0040517516651107,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020161691&doi=10.1177%2f0040517516651107&partnerID=40&md5=bd68cd1c26911513e1719df5ef694da0,"Impact and Armour Group, Centre for Defence Engineering, Cranfield University at the Defence Academy of the United Kingdom, United Kingdom; Centre for Advanced Materials and Performance Textiles, RMIT University, Australia; ADMACC, Royal Centre for Defence Medicine, Medical Directorate, Joint Medical Command, ICT Centre, United Kingdom; Institute of Filipino Martial Arts, United Kingdom; Cranfield Forensic Institute, Cranfield University at the Defence Academy of the United Kingdom, United Kingdom","Cowper, E.J., Impact and Armour Group, Centre for Defence Engineering, Cranfield University at the Defence Academy of the United Kingdom, United Kingdom, Centre for Advanced Materials and Performance Textiles, RMIT University, Australia; Mahoney, P.F., ADMACC, Royal Centre for Defence Medicine, Medical Directorate, Joint Medical Command, ICT Centre, United Kingdom; Godhania, K., Institute of Filipino Martial Arts, United Kingdom; Carr, D.J., Impact and Armour Group, Centre for Defence Engineering, Cranfield University at the Defence Academy of the United Kingdom, United Kingdom; Harrison, K., Cranfield Forensic Institute, Cranfield University at the Defence Academy of the United Kingdom, United Kingdom",knife; martial arts; simulant; T-shirt; textile damage,Forensic science; High speed cameras; Textiles; High-speed video; knife; Martial art; Physical model; Pilot studies; Similar pattern; simulant; T-shirts; Damage detection; Clothing; Damage; Weapons,,Article,Final,,Scopus,2-s2.0-85020161691,2016
"Wightman G., Wark K., Thomson J.",24512543700;56450878000;56450029600;,The interaction between clothing and air weapon pellets,2015,Forensic Science International,246,,,6,16,,8,10.1016/j.forsciint.2014.10.039,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84918800519&doi=10.1016%2fj.forsciint.2014.10.039&partnerID=40&md5=fb5a9772cb1224234dafd0dfae471f37,"School of Science Engineering and Technology, Abertay University, Bell Street, Dundee, Scotland, DD1 1HG, United Kingdom","Wightman, G., School of Science Engineering and Technology, Abertay University, Bell Street, Dundee, Scotland, DD1 1HG, United Kingdom; Wark, K., School of Science Engineering and Technology, Abertay University, Bell Street, Dundee, Scotland, DD1 1HG, United Kingdom; Thomson, J., School of Science Engineering and Technology, Abertay University, Bell Street, Dundee, Scotland, DD1 1HG, United Kingdom",Air rifle; Air weapon; Ballistic; Clothing; Gel; Pellet,"ballistic gel; gelatin; unclassified drug; air weapon pellet; Article; clothing; comparative study; controlled study; drive; fabric weave; gel transparency; parameters; pellet shape; penetration depth; pH; physical consistency; physical parameters; rupture strength; shooting range; simulation; weapon; air; ballistics; biological model; human; penetrating trauma; Air; Clothing; Forensic Ballistics; Gelatin; Humans; Models, Biological; Weapons; Wounds, Penetrating",,Article,Final,,Scopus,2-s2.0-84918800519,2016
