Authors	Author(s) ID	Title	Year	Source title	Volume	Issue	Art. No.	Page start	Page end	Page count	Cited by	DOI	Link	Author Keywords	Index Keywords	Document Type	Publication Stage	Access Type	Source	EID
"Browne M.A., Crump P., Niven S.J., Teuten E., Tonkin A., Galloway T., Thompson R."	56275090500;54402558400;36768227700;6508067950;57193915811;7005080291;35453492500;	Accumulation of microplastic on shorelines woldwide: Sources and sinks	2011	Environmental Science and Technology	45	21		9175	9179		1101	10.1021/es201811s	https://www.scopus.com/inward/record.uri?eid=2-s2.0-80055096730&doi=10.1021%2fes201811s&partnerID=40&md5=6feb6ce03c7bf2c222820ee2ca655c90		"Acrylic fibers; Forensic evaluation; Human population; Marine environment; Plastic debris; Animals; Anoxic sediments; Debris; Ecosystems; Effluents; Fibers; Washers; Washing; Wastewater; Sewage; acrylic acid; microplastic; plastic; polyester; unclassified drug; abundance; accumulation; ester; experimental study; habitat type; marine environment; marine pollution; particulate matter; pollutant source; pollution effect; sewage; size distribution; textile industry; uncertainty analysis; wastewater; article; forensic identification; laundry; marine environment; particulate matter; seashore; sewage; sewage effluent; waste water; water contamination; Environmental Monitoring; Environmental Pollutants; Household Products; Plastics; Refuse Disposal; Waste Products; Water Pollutants, Chemical; Animals; Ecosystems; Effluents; Fiber Debris; Fibers; Plastics; Sediments; Sewage; Washers; Washing; Animalia"	Article	Final		Scopus	2-s2.0-80055096730
"Vas G., Vékey K."	6603928204;7005060014;	Solid-phase microextraction: A powerful sample preparation tool prior to mass spectrometric analysis	2004	Journal of Mass Spectrometry	39	3		233	254		386	10.1002/jms.606	https://www.scopus.com/inward/record.uri?eid=2-s2.0-1642357692&doi=10.1002%2fjms.606&partnerID=40&md5=40f21c864647456a365f61f3a8376c2a	Capillary electrophoresis/mass spectrometry; Environmental chemisty; Food analysis; Forensic analysis; Gas chromatography; Gas chromatography/mass spectrometry; Headspace; High-performance liquid chromatography; High-performance liquid chromatography/mass spectrometry; Pharmaceuticals; Pharmakokinetics; Solid-phase microextraction; Solid-phase microextraction/matrix-assisted laser desorption/ionization mass spectrometry; Wine	Costs; Electrophoresis; Environmental impact; Extraction; Fibers; Fused silica; Gas chromatography; Liquid chromatography; Capillary electrophoresis; Solid-Phase Microextraction (SPME); Mass spectrometry; amphetamine; daidzein; dimeticone; divinylbenzene; genistein; halothane; isoflurane; macrogol; methamphetamine; nitrous oxide; polyacrylic acid; silicon dioxide; solvent; analytic method; breath analysis; capillary electrophoresis; chemical analysis; chemistry; concentration (parameters); cost effectiveness analysis; derivatization; device; diagnostic accuracy; drug analysis; drug blood level; environment; extraction; food analysis; gas chromatography; hair analysis; high performance liquid chromatography; human; liquid liquid extraction; mass spectrometry; matrix assisted laser desorption ionization time of flight mass spectrometry; nonhuman; priority journal; reliability; retrospective study; review; sample; sensitivity and specificity; solid phase microextraction; Animals; Breath Tests; Environmental Health; Food Analysis; Hair; Humans; Mass Spectrometry; Specimen Handling	Review	Final		Scopus	2-s2.0-1642357692
De Fátima Alpendurada M.	6507043842;	Solid-phase microextraction: A promising technique for sample preparation in environmental analysis	2000	Journal of Chromatography A	889	01-Feb		3	14		358	10.1016/S0021-9673(00)00453-2	https://www.scopus.com/inward/record.uri?eid=2-s2.0-0038191731&doi=10.1016%2fS0021-9673%2800%2900453-2&partnerID=40&md5=2cda21997bedfd6cc6d725d12653122d	Environmental analysis; Reviews; Solid-phase microextraction	"adsorption; agitation; conference paper; derivatization; drug identification; instrument; literature; materials; microanalysis; priority journal; quantitative assay; sampling; solid phase extraction; storage; technique; Chromatography, Gas; Environment; Gas Chromatography-Mass Spectrometry; Pesticides; Phenols; Publications; Solubility; Solvents; Water"	Conference Paper	Final		Scopus	2-s2.0-0038191731
Ulrich S.	7005907403;	Solid-phase microextraction in biomedical analysis	2000	Journal of Chromatography A	902	1		167	194		309	10.1016/S0021-9673(00)00934-1	https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034711479&doi=10.1016%2fS0021-9673%2800%2900934-1&partnerID=40&md5=8351cbc33493d47ba3156a4c5f48e771	Amphetamine; Antidepressants; Antihistamines; Benzodiazepines; Beta-blockers; Forensic analysis; Pesticides; Pharmaceutical analysis; Phencyclidine; Polychlorinated biphenyls; Polynuclear aromatic hydrocarbons; Reviews; Solid-phase microextraction; Volatile organic compounds	"amitriptyline; amphetamine; amphetamine derivative; anesthetic agent; antidepressant agent; antihistaminic agent; barbituric acid derivative; benzodiazepine derivative; beta adrenergic receptor blocking agent; bupivacaine; cannabinoid; clomethiazole; diazepam; fenfluramine; halothane; herbicide; lithium salt; local anesthetic agent; loxapine; mepivacaine; nortriptyline; pesticide; phencyclidine; phenothiazine derivative; polychlorinated biphenyl; polycyclic aromatic compound; prilocaine; valproic acid; volatile organic compound; chemical analysis; drug analysis; forensic science; priority journal; review; solid phase extraction; Body Fluids; Chemistry, Physical; Chromatography; Chromatography, Gas; Humans; Kinetics; Microchemistry; Thermodynamics"	Review	Final		Scopus	2-s2.0-0034711479
"Ní Annaidh A., Bruyère K., Destrade M., Gilchrist M.D., Otténio M."	35339011700;23090437300;6701607514;7005789718;8729884800;	Characterization of the anisotropic mechanical properties of excised human skin	2012	Journal of the Mechanical Behavior of Biomedical Materials	5	1		139	148		250	10.1016/j.jmbbm.2011.08.016	https://www.scopus.com/inward/record.uri?eid=2-s2.0-81455154402&doi=10.1016%2fj.jmbbm.2011.08.016&partnerID=40&md5=123b0fcb8a66014ed276277684dc12af	Histology; Langer lines; Soft tissue; Tensile properties	"Anisotropic mechanical properties; Collagen fibres; Deformation Characteristics; Digital image correlations; Failure strain; Forensic science; Histological examination; Human skin; Langer lines; Multivariate analysis of variances; Preferred orientations; Soft tissue; Ultimate tensile strength; Uniaxial tensile test; Biomechanics; Elastic moduli; Histology; Multivariant analysis; Strain energy; Strain measurement; Tensile properties; Tensile strength; Tensile testing; Tissue; Strain rate; collagen fiber; article; dermis; digital imaging; elasticity; fractional anisotropy; histology; human; human tissue; mechanical torsion; priority journal; skin; tensile strength; Aged, 80 and over; Anisotropy; Biomechanics; Collagen; Dermis; Female; Humans; Male; Mechanical Processes; Regression Analysis; Skin"	Article	Final		Scopus	2-s2.0-81455154402
"Saverio Romolo F., Margot P."	6508292376;7004580112;	Identification of gunshot residue: A critical review	2001	Forensic Science International	119	2		195	211		228	10.1016/S0379-0738(00)00428-X	https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035876938&doi=10.1016%2fS0379-0738%2800%2900428-X&partnerID=40&md5=e2f36a3e097a0be7c0c29e4addbcf379	Bayes rule; Firearms chemistry; Gunshot residue; Interpretation	aluminum; antimony; barium; calcium; copper; gunpowder; iron; lead; magnesium; mercury; tin; zinc; analysis; bullet; firearm; melting point; priority journal; review; scanning electron microscopy	Article	Final		Scopus	2-s2.0-0035876938
"Sodhi G.S., Kaur J."	6603853183;55428454400;	Powder method for detecting latent fingerprints: A review	2001	Forensic Science International	120	3		172	176		225	10.1016/S0379-0738(00)00465-5	https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035452318&doi=10.1016%2fS0379-0738%2800%2900465-5&partnerID=40&md5=22c9e08ca3c2f644bd58bb9c33eb9975	Federal Bureau of Investigation; Fingerprint; Powder dusting	dust; finger dermatoglyphics; forensic science; human; police; powder; priority journal; review; surface property; sweat; technique	Article	Final		Scopus	2-s2.0-0035452318
"Welch A.J., Van Gemert M.J.C."	7202414021;7005953330;	Optical-thermal response of laser-irradiated tissue	2011	Optical-Thermal Response of Laser-Irradiated Tissue				1	958		217	10.1007/978-90-481-8831-4	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892272375&doi=10.1007%2f978-90-481-8831-4&partnerID=40&md5=588e858898faa36a00256d6902fca037			Book	Final		Scopus	2-s2.0-84892272375
"Edwards H.G.M., Farwell D.W., Webster D."	7202660467;7003576174;7201998233;	FT Raman microscopy of untreated natural plant fibres	1997	Spectrochimica Acta - Part A: Molecular and Biomolecular Spectroscopy	53	13		2383	2392		209	10.1016/S1386-1425(97)00178-9	https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031266738&doi=10.1016%2fS1386-1425%2897%2900178-9&partnerID=40&md5=21d33d6d6b96a9966675c60ce6af394a	Archaeology; Fibres; Ft-raman; Microscopy	"cellulose; article; chemical model; chemistry; Fourier analysis; plant; Raman spectrometry; Cellulose; Fourier Analysis; Models, Chemical; Plants; Spectrum Analysis, Raman"	Article	Final		Scopus	2-s2.0-0031266738
"Peto J., Seidman H., Selikoff I.J."	7004822955;7004869928;35551442700;	Mesothelioma mortality in asbestos workers: Implications for models of carcinogenesis and risk assessment	1982	British Journal of Cancer	45	1		124	135		195	10.1038/bjc.1982.15	https://www.scopus.com/inward/record.uri?eid=2-s2.0-0020075090&doi=10.1038%2fbjc.1982.15&partnerID=40&md5=231352f05aea2c06fade3915b2724e59		"asbestos; cancer mortality; cancer risk; epidemiology; etiology; forensic medicine; geographic distribution; malignant mesothelioma; occupational exposure; respiratory system; Adolescent; Adult; Age Factors; Aged; Asbestos; Human; Male; Mesothelioma; Middle Age; Models, Biological; North America; Occupational Diseases; Peritoneal Neoplasms; Pleural Neoplasms; Risk; Time Factors"	Article	Final	Open Access	Scopus	2-s2.0-0020075090
